descricao;preco;ano;km_rodado;localizacao
Renault Sandero 1.0 12v Authentique Sce 5p;39.900;2018;100.000 Km;Governador Valadares
Honda Hr-v 1.8 16v Flex Ex 4p Automático;103.900;2018;100.000 Km;Governador Valadares
Honda Hr-v 1.8 16v Flex Exl 4p Automático;86.900;2016;100.000 Km;Governador Valadares
Hyundai Ix35 2.0 Gl 2wd Flex Aut. 5p;89.900;2019;100.000 Km;Governador Valadares
Volkswagen Fox City 1.0 Mi/ 1.0mi Total Flex 8v 5p;23.900;2009;100.000 Km;Governador Valadares
Volkswagen Tiguan Allspace Tiguan Allspac 250 Tsi 1.4 Flex;115.900;2018;100.000 Km;Governador Valadares
Bmw X1 S20i Activeflex;123.900;2017;100.000 Km;Governador Valadares
Ford Ka+ 1.0 Se Flex 4p;42.900;2017;100.000 Km;Governador Valadares
Volkswagen Fox 1.6 Comfortline Total Flex 5p;47.900;2015;100.000 Km;Governador Valadares
Nissan Versa 1.6 16v Sv Aut. 4p;61.900;2018;100.000 Km;Governador Valadares
Jeep Renegade 1.8 16v Flex 4p Automático;78.900;2020;100.000 Km;Governador Valadares
Jeep Compass 2.0 16v Flex Longitude Automático;95.900;2018;100.000 Km;Governador Valadares
Fiat Punto 1.4 Attractive 8v Flex 4p Manual;34.990;2011;100.000 Km;Governador Valadares
Fiat Grand Siena 1.4 Mpi Attractive 8v Flex 4p Manual;43.990;2017;100.000 Km;Governador Valadares
Jeep Renegade 1.8 Sport Flex Aut. 5p;71.990;2018;100.000 Km;Governador Valadares
Honda Wr-v 1.5 Exl Flex Aut. 5p;79.900;2018;100.000 Km;Governador Valadares
Hyundai Hb20 1.0 Sense Flex 5p;52.900;2020;100.000 Km;Governador Valadares
Ford Ka 1.5 Se Flex 4p;49.000;2018;100.000 Km;Governador Valadares
Hyundai Hb20s 1.0 Comfort Plus 12v Flex 4p Manual;56.990;2019;100.000 Km;Governador Valadares
Jeep Renegade 1.8 16v Flex Longitude 4p Automático;69.990;2016;100.000 Km;Governador Valadares
Jeep Renegade 1.8 16v Flex Sport 4p Automático;66.900;2016;100.000 Km;Governador Valadares
Ford Ka 1.0 Ti-vct Flex Se Manual;43.890;2018;100.000 Km;Governador Valadares
Mitsubishi Asx 2.0 4x2 16v Flex 4p Automático;89.890;2018;100.000 Km;Governador Valadares
Nissan Versa 1.6 16v Flex S 4p Manual;49.990;2018;100.000 Km;Governador Valadares
Nissan Versa 1.6 16v Flex Unique 4p Xtronic;64.900;2018;100.000 Km;Governador Valadares
Ford Ka 1.0 Ti-vct Flex Se Manual;48.900;2020;100.000 Km;Governador Valadares
Jeep Compass 2.0 16v Diesel Longitude 4x4 Automático;98.900;2017;100.000 Km;Governador Valadares
Fiat Argo 1.3 Drive Flex 5p;49.900;2018;100.000 Km;Governador Valadares
Hyundai Hb20 1.0 Comfort Plus Flex 5p;49.900;2016;100.000 Km;Governador Valadares
Hyundai Hb20 1.0 Comfort Plus Flex 5p;48.900;2016;100.000 Km;Governador Valadares
Nissan March 1.0 S 12v Flex 4p Manual;42.800;2018;100.000 Km;Governador Valadares
Renault Duster 2.0 16v Hi-flex Dynamique Manual;79.900;2020;100.000 Km;Governador Valadares
Volvo Xc60 2.0 T5 Momentum Gasolina 4p Automático;85.900;2016;100.000 Km;Governador Valadares
Jeep Renegade 1.8 16v Flex Sport 4p Automático;73.900;2018;100.000 Km;Governador Valadares
Citroën C4 Cactus 1.6 Thp Flex 100 Anos Eat6;86.900;2020;100.000 Km;Governador Valadares
Mitsubishi Pajero Sport 2.4 16v Mivec Turbo Diesel Hpe Awd Automático;225.900;2020;100.000 Km;Governador Valadares
Hyundai Hb20s C.plus/c.style 1.6 Flex 16v Mec.4p;56.900;2016;100.000 Km;Governador Valadares
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;49.900;2018;100.000 Km;Governador Valadares
Volkswagen Gol 1.6 Msi Totalflex 4p Manual;52.990;2019;100.000 Km;Governador Valadares
Renault Sandero 1.6 16v Sce Flex Expression Manual;47.900;2019;100.000 Km;Governador Valadares
Fiat Uno 1.0 Evo Vivace 8v Flex 4p Manual;30.990;2013;100.000 Km;Governador Valadares
Renault Sandero Expression Flex 1.6 16v 5p;45.900;2019;100.000 Km;Governador Valadares
Hyundai Hb20 Comf./c.plus/c.style 1.0 Flex 12v;45.900;2017;100.000 Km;Governador Valadares
Ford Ecosport 1.5 Freestyle Plus Flex Aut. 5p;71.600;2019;100.000 Km;Governador Valadares
Jeep Compass 2.0 16v Diesel S 4x4 Automático;134.900;2020;63.000 Km;Belo Horizonte
Jeep Renegade Longitude 1.8 4x2 Flex 16v Aut.;75.000;2017;63.000 Km;Belo Horizonte
Hyundai Hb20s C.style/c.plus1.6 Flex 16v Aut. 4p;56.900;2015;63.000 Km;Belo Horizonte
Hyundai Creta 1.6 Pulse Plus Flex Aut. 5p;86.000;2018;63.000 Km;Belo Horizonte
Ford Fiesta 1.6 16v Titanium Flex Powershift 5p;48.900;2015;63.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;92.900;2016;63.000 Km;Belo Horizonte
Chevrolet Onix 1.0 Mpfi Lt 8v Flex 4p Manual;39.990;2014;63.000 Km;Belo Horizonte
Volkswagen Fox 1.6 Mi Prime 8v Flex 4p Automatizado;32.990;2011;63.000 Km;Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;43.990;2018;63.000 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Trendline Total Flex 5p;39.800;2015;63.000 Km;Belo Horizonte
Fiat Mobi Drive 1.0 Flex 6v 5p;41.900;2018;63.000 Km;Belo Horizonte
Peugeot 208 1.2 Active 12v Flex 4p Manual;41.890;2018;63.000 Km;Belo Horizonte
Renault Sandero Zen 1.0 12v Sce;45.900;2020;63.000 Km;Belo Horizonte
Renault Sandero Stepway 1.6 Expression 16v Sce 5p;51.900;2019;63.000 Km;Belo Horizonte
Renault Sandero 1.0 12v Sce Flex Authentique Manual;36.990;2018;63.000 Km;Belo Horizonte
Chery Tiggo 2 1.5 Mpfi 16v Flex Act 4p Automático;69.990;2020;63.000 Km;Belo Horizonte
Nissan Kicks 1.6 16v Flexstart Sl 4p Xtronic;78.990;2018;63.000 Km;Belo Horizonte
Volkswagen Gol 1.6 Mi 8v Flex 4p Manual G.vi;39.900;2013;63.000 Km;Belo Horizonte
Chevrolet Tracker 1.4 Premier Turbo Aut. 5p;89.900;2018;63.000 Km;Belo Horizonte
Volkswagen Fox 1.6 Vht Prime I-motion Total Flex 5p;34.900;2012;63.000 Km;Belo Horizonte
Renault Kwid 1.0 12v Sce Flex Zen Manual;42.990;2018;63.000 Km;Belo Horizonte
Jeep Renegade 1.8 Limited Flex Aut. 5p;89.900;2020;63.000 Km;Belo Horizonte
Nissan Kicks Sl 1.6 16v Flexstar 5p Aut.;82.000;2017;63.000 Km;Belo Horizonte
Renault Kwid Zen 1.0 Flex 12v 5p Mec.;39.990;2019;63.000 Km;Belo Horizonte
Peugeot 408 2.0 Feline 16v Flex 4p Automático;39.900;2012;63.000 Km;Belo Horizonte
Volvo Xc60 2.0 T8 Hybrid R-design Awd Geartronic;238.990;2019;63.000 Km;Belo Horizonte
Volkswagen Gol 1.0 12v Total Flex 5p;51.900;2020;63.000 Km;Belo Horizonte
Hyundai Ix35 2.0 Gls 2wd Flex Aut. 5p;72.900;2015;63.000 Km;Belo Horizonte
Ford Ka 1.0 Se Flex 5p;37.900;2016;63.000 Km;Belo Horizonte
Hyundai Hb20 1.0 Unique 12v Flex 4p Manual;52.900;2019;63.000 Km;Belo Horizonte
Citroën C3 1.6 Exclusive 16v Flex 4p Automático;36.990;2013;63.000 Km;Belo Horizonte
Jeep Compass 2.0 Sport Flex Aut. 5p;88.900;2017;63.000 Km;Belo Horizonte
Jeep Compass 2.0 Longitude Flex Aut. 5p;96.900;2017;63.000 Km;Belo Horizonte
Renault Captur 1.6 16v Sce Flex Zen Manual;65.990;2018;63.000 Km;Belo Horizonte
Volkswagen T-cross 1.0 Comfortline 200 Tsi Aut. 5p;103.900;2020;63.000 Km;Belo Horizonte
Fiat Uno 1.0 Fire Flex Attractive Manual;42.900;2019;63.000 Km;Belo Horizonte
Ford Ka Se 1.5 Ha;39.900;2015;63.000 Km;Belo Horizonte
Fiat Palio 1.0 Mpi Attractive 8v Flex 4p Manual;39.900;2017;63.000 Km;Belo Horizonte
Volkswagen Voyage 1.6 Msi Totalflex 4p Manual;55.900;2020;63.000 Km;Belo Horizonte
Mitsubishi Pajero Sport Mitsubishi Pajero Sport 2.4 Di-d Hpe Auto 4wd;219.900;2020;63.000 Km;Belo Horizonte
Jeep Compass 2.0 Trailhawk Aut. 5p;115.900;2017;63.000 Km;Belo Horizonte
Volkswagen Gol 1.0 12v Total Flex 5p;44.900;2019;63.000 Km;Belo Horizonte
Honda Hr-v 1.8 Ex Flex Aut. 5p;89.900;2017;63.000 Km;Belo Horizonte
Jeep Renegade 2.0 16v Turbo Diesel Longitude 4p 4x4 Automático;85.900;2016;63.000 Km;Belo Horizonte
Ford Ka 1.0 Se Plus Flex 5p;47.900;2020;63.000 Km;Belo Horizonte
Ford Ka 1.0 Se Plus Flex 5p;49.900;2020;63.000 Km;Belo Horizonte
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático;122.900;2017;63.000 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Exl 4p Automático;106.900;2019;63.000 Km;Belo Horizonte
Jeep Compass 2.0 16v Flex Longitude Automático;95.500;2018;98.000 Km;Brasil - Uberlândia
Ford Ka+ 1.0 Se Plus Flex 4p;52.900;2019;98.000 Km;Brasil - Uberlândia
Bmw X1 2.0 16v Turbo Activeflex Sdrive20i 4p Automático;119.900;2017;98.000 Km;Brasil - Uberlândia
Hyundai Hb20s 1.6 Comfort Plus 16v Flex 4p Manual;49.990;2014;98.000 Km;Brasil - Uberlândia
Mitsubishi Asx 2.0 2wd Flex Cvt 5p;79.900;2018;98.000 Km;Brasil - Uberlândia
Ford Fiesta 1.6 Se Sedan 16v Flex 4p Powershift;44.900;2014;98.000 Km;Brasil - Uberlândia
Nissan March 1.0 12v S 5p;40.900;2018;98.000 Km;Brasil - Uberlândia
Ford Ka 1.0 Ti-vct Flex Se Plus Sedan Manual;49.990;2020;98.000 Km;Brasil - Uberlândia
Fiat Uno 1.0 Evo Attractive 8v Flex 4p Manual;41.900;2016;98.000 Km;Brasil - Uberlândia
Ford Ka 1.5 Se Flex 4p;46.900;2018;98.000 Km;Brasil - Uberlândia
Citroën C4 Lounge 1.6 Tendance 16v Turbo Gasolina 4p Automático;49.900;2015;98.000 Km;Brasil - Uberlândia
Honda Hr-v 1.8 16v Flex Ex 4p Automático;82.990;2017;98.000 Km;Brasil - Uberlândia
Kia Cerato 1.6 Ex3 Sedan 16v Gasolina 4p Automático;47.900;2012;98.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.6 Rock In Rio Total Flex 5p;51.900;2016;98.000 Km;Brasil - Uberlândia
Hyundai Ix35 2.0 Mpfi Gls 16v Flex 4p Automático;72.990;2015;98.000 Km;Brasil - Uberlândia
Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.iv;29.900;2014;98.000 Km;Brasil - Uberlândia
Bmw X4 2.0 Xdrive28i Xline 5p;169.900;2017;98.000 Km;Brasil - Uberlândia
Volkswagen Up! Black/white/red 1.0 T. Flex 12v 5p;43.890;2015;98.000 Km;Brasil - Uberlândia
Citroën C3 1.5 Origine 8v Flex 4p Manual;27.990;2015;98.000 Km;Brasil - Uberlândia
Toyota Etios 1.3 Xs 16v Flex 4p Manual;35.990;2013;98.000 Km;Brasil - Uberlândia
Chevrolet Prisma 1.4 Mpfi Lt 8v Flex 4p Automático;57.990;2017;98.000 Km;Brasil - Uberlândia
Ford Ecosport 1.5 Ti-vct Flex Freestyle Automático;78.990;2020;98.000 Km;Brasil - Uberlândia
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;43.990;2019;98.000 Km;Brasil - Uberlândia
Renault Logan 1.6 Iconic 16v X-tronic 4p;59.900;2020;98.000 Km;Brasil - Uberlândia
Volkswagen Up! 1.0 Mpi Take Up 12v Flex 4p Manual;37.900;2016;98.000 Km;Brasil - Uberlândia
Fiat Uno 1.4 Attractive 8v Flex 4p Manual;32.990;2012;98.000 Km;Brasil - Uberlândia
Chevrolet Onix Hatch Joy 1.0 8v Flex 5p Mec.;49.900;2019;98.000 Km;Brasil - Uberlândia
Volkswagen Gol 1.0 Comfortline 4p;41.900;2015;98.000 Km;Brasil - Uberlândia
Nissan Kicks 1.6 16v S Aut. 5p;75.900;2018;98.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.0 Mi 8v Flex 4p Manual;34.900;2010;98.000 Km;Brasil - Uberlândia
Lexus Nx 2.0 F-sport Aut. 5p;130.000;2015;98.000 Km;Brasil - Uberlândia
Hyundai Creta 2.0 16v Flex Pulse Automático;81.700;2017;98.000 Km;Brasil - Uberlândia
Citroën C3 1.6 16v Exclusive Flex Aut. 5p;35.900;2012;98.000 Km;Brasil - Uberlândia
Audi Q3 1.4 Tfsi Flex Prestige S Tronic;114.700;2019;98.000 Km;Brasil - Uberlândia
Jeep Renegade 1.8 16v Flex Longitude 4p Automático;79.900;2018;98.000 Km;Brasil - Uberlândia
Chevrolet Onix 1.0 Lt 5p;44.500;2016;98.000 Km;Brasil - Uberlândia
Jeep Renegade 2.0 Sport 4x4 Aut. 5p;84.900;2016;98.000 Km;Brasil - Uberlândia
Hyundai Azera 3.3 Gls Aut. 4p;38.900;2009;98.000 Km;Brasil - Uberlândia
Hyundai Hb20s 1.6 Comfort Plus 16v Flex 4p Automático;66.900;2017;98.000 Km;Brasil - Uberlândia
Honda Hr-v 1.8 16v Flex Lx 4p Automático;85.900;2017;98.000 Km;Brasil - Uberlândia
Mercedes-benz Gla200 Gla 200 1.6 Cgi Advance 16v Turbo 4p;119.900;2018;98.000 Km;Brasil - Uberlândia
Land Rover Range Rover Evoque 2.0 Dynamic 4wd 16v Gasolina 4p Automático;109.990;2015;98.000 Km;Brasil - Uberlândia
Jeep Renegade 1.8 16v Flex Sport 4p Manual;68.990;2018;98.000 Km;Brasil - Uberlândia
Chevrolet Agile Chevrolet  Ltz;32.900;2011;98.000 Km;Brasil - Uberlândia
Lifan 530 1.5 Talent 16v Gasolina 4p Manual;25.990;2015;98.000 Km;Brasil - Uberlândia
Fiat Palio 1.0 Attractive Flex 5p;32.800;2014;98.000 Km;Brasil - Uberlândia
Hyundai Hb20s 1.0 12v Flex Vision Manual;65.990;2020;98.000 Km;Brasil - Uberlândia
Fiat Cronos 1.8 E.torq Flex Precision At6;69.990;2019;98.000 Km;Brasil - Uberlândia
Fiat Grand Siena 1.0 Evo Flex Attractive Manual;50.900;2020;74.655 Km;Belo Horizonte
Ford Ecosport 2.0 Direct Flex Storm 4wd Automático;84.900;2020;74.655 Km;Belo Horizonte
Volkswagen Fox 1.6 Msi Comfortline 8v Flex 4p Automatizado;47.900;2015;74.655 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;94.900;2018;74.655 Km;Belo Horizonte
Ford Ecosport 1.6 Freestyle 16v Flex 4p Powershift;60.900;2017;74.655 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Touring 4p Automático;102.900;2018;74.655 Km;Belo Horizonte
Ford Ka 1.5 Sigma Flex Se Trail Manual;45.990;2018;74.655 Km;Belo Horizonte
Volkswagen Voyage 1.6 Mi City 8v Flex 4p Manual;35.990;2014;74.655 Km;Belo Horizonte
Ford Ka 1.5 Sedan Se 12v Flex 4p Aut.;56.900;2019;74.655 Km;Belo Horizonte
Jac J3 Turin 1.5 16v S Jetflex 4p;29.990;2015;74.655 Km;Belo Horizonte
Volkswagen T-cross 1.0 200 Tsi Total Flex Automático;92.900;2020;74.655 Km;Belo Horizonte
Mercedes-benz Classe Gla 2.0 Vision Turbo 5p;104.000;2015;74.655 Km;Belo Horizonte
Renault Duster 1.6 Dynamique 4x2 16v Flex 4p Manual;58.990;2016;74.655 Km;Belo Horizonte
Volkswagen Up! 1.0 Mpi Take Up 12v Flex 4p Manual;42.990;2017;74.655 Km;Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Plus Manual;40.990;2015;74.655 Km;Belo Horizonte
Volkswagen Up! 1.0 Move 5p;44.900;2016;74.655 Km;Belo Horizonte
Fiat Uno 1.0 Fire Flex Attractive Manual;44.990;2020;74.655 Km;Belo Horizonte
Jeep Renegade 1.8 16v Flex Longitude 4p Automático;72.900;2017;74.655 Km;Belo Horizonte
Fiat Siena 1.6 Mpi Essence 16v Flex 4p Automatizado;39.900;2013;74.655 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;88.900;2017;74.655 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Lx 4p Automático;79.990;2016;74.655 Km;Belo Horizonte
Land Rover Discovery Sport Disc Spt D240 Hse;159.900;2018;74.655 Km;Belo Horizonte
Volkswagen Gol 1.0 12v Mpi Totalflex Trendline 4p Manual;42.890;2017;74.655 Km;Belo Horizonte
Citroën C4 Lounge 1.6 Exclusive 16v Turbo Flex 4p Automático;69.900;2016;74.655 Km;Belo Horizonte
Ford Ka Sedan 1.5 Sigma Flex Sel Manual;45.990;2018;74.655 Km;Belo Horizonte
Toyota Etios 1.3 16v X 5p;44.000;2015;74.655 Km;Belo Horizonte
Fiat Uno 1.0 Attractive Flex 5p;41.900;2016;74.655 Km;Belo Horizonte
Fiat Punto Attractive 1.4 Fire Flex 8v 5p;39.900;2015;74.655 Km;Belo Horizonte
Volkswagen T-cross 1.4 250 Tsi Total Flex Highline Automático;107.900;2020;74.655 Km;Belo Horizonte
Mitsubishi Asx 2.0 4x2 16v Gasolina 4p Automático;77.900;2016;74.655 Km;Belo Horizonte
Hyundai Ix35 Ix 35 B;77.900;2015;74.655 Km;Belo Horizonte
Volkswagen Tiguan Volkswagen Tiguan 1.4 Tsi Dsg;88.900;2017;74.655 Km;Belo Horizonte
Renault Kwid 1.0 12v Zen Sce 5p;42.900;2019;74.655 Km;Belo Horizonte
Renault Duster 2.0 16v Dynamique Hi-flex Aut. 5p;59.900;2016;74.655 Km;Belo Horizonte
Volkswagen Gol 1.6 Msi Trendline Total Flex 5p;48.900;2018;74.655 Km;Belo Horizonte
Honda Hr-v 1.8 16v Flex Ex 4p Automático;84.990;2016;74.655 Km;Belo Horizonte
Jeep Renegade 1.8 Flex Aut. 5p;77.990;2020;74.655 Km;Belo Horizonte
Ford Ka 1.0 Ti-vct Flex Se Manual;44.900;2020;74.655 Km;Belo Horizonte
Jeep Renegade 1.8 16v Flex 4p;77.900;2019;74.655 Km;Belo Horizonte
Volkswagen Fox 1.0 12v Bluemotion Trend Total Flex 5p;38.900;2014;74.655 Km;Belo Horizonte
Ford Ka 1.5 Se Flex 4p;44.900;2018;74.655 Km;Belo Horizonte
Chevrolet Onix 1.0 Mpfi Joy 8v Flex 4p Manual;49.900;2019;74.655 Km;Belo Horizonte
Volkswagen Gol 1.6 Mi Power 8v Flex 4p Manual G.v;26.900;2009;74.655 Km;Belo Horizonte
Volkswagen Gol 1.6 Mi Comfortline 8v Flex 4p Manual;41.990;2015;74.655 Km;Belo Horizonte
Chevrolet Celta 1.0 Mpfi Lt 8v Flex 4p Manual;28.990;2013;74.655 Km;Belo Horizonte
Ford Fiesta 1.6 16v Se Flex Powershift 5p;42.900;2015;74.655 Km;Belo Horizonte
Hyundai Hb20 1.0 Comfort Plus Flex 5p;47.900;2017;74.655 Km;Belo Horizonte
Jeep Compass Limited F;95.900;2017;74.655 Km;Belo Horizonte
Jeep Compass Limited F;95.900;2017;76.000 Km;Brasil - Uberlândia
Volkswagen Tiguan 1.4 250 Tsi Total Flex Allspace Comfortline Tiptronic;125.900;2019;76.000 Km;Brasil - Uberlândia
Renault Duster 2.0 16v Dynamique 4x4 Hi-flex 5p;59.900;2016;76.000 Km;Brasil - Uberlândia
Volkswagen T-cross 1.0 200 Tsi Total Flex Automático;94.900;2020;76.000 Km;Brasil - Uberlândia
Honda Hr-v 1.8 16v Flex Exl 4p Automático;110.900;2020;76.000 Km;Brasil - Uberlândia
Chery Tiggo 5x 1.5 Vvt Turbo Iflex Txs Dct;93.800;2020;76.000 Km;Brasil - Uberlândia
Ford Ka 1.0 Ti-vct Flex Se Manual;47.900;2019;76.000 Km;Brasil - Uberlândia
Volkswagen Up! 1.0 Mpi Move Up 12v Flex 4p Manual;46.900;2016;76.000 Km;Brasil - Uberlândia
Chevrolet Prisma 1.4 Ltz 4p;64.900;2018;76.000 Km;Brasil - Uberlândia
Chevrolet Prisma 1.4 Lt Aut. 4p;60.900;2017;76.000 Km;Brasil - Uberlândia
Bmw X1 2.0 Sdrive20i Gp Active Flex 5p;129.900;2018;76.000 Km;Brasil - Uberlândia
Chevrolet Onix Plus Plus Joy Black;53.900;2020;76.000 Km;Brasil - Uberlândia
Ford Ka+ 1.5 Se Plus Flex 4p;55.900;2020;76.000 Km;Brasil - Uberlândia
Ford Ka 1.5 Sedan Se 12v Flex 4p Aut.;57.900;2019;76.000 Km;Brasil - Uberlândia
Volvo Xc60 2.0 T5 R Design Turbo Gasolina 4p Automático;85.990;2015;76.000 Km;Brasil - Uberlândia
Volkswagen Virtus Comfort. 200 Tsi 1.0 Flex 12v Aut;69.900;2018;76.000 Km;Brasil - Uberlândia
Volkswagen T-cross 1.0 200 Tsi Total Flex Automático;92.900;2020;76.000 Km;Brasil - Uberlândia
Ford Ka 1.5 Se Flex 4p;54.000;2019;76.000 Km;Brasil - Uberlândia
Fiat Palio 1.4 Attractive Flex 5p;38.800;2013;76.000 Km;Brasil - Uberlândia
Volkswagen Up! Move 1.0 Tsi Total Flex Mec. 4p;49.990;2016;76.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.6 Mi 8v Flex 4p Manual;39.900;2013;76.000 Km;Brasil - Uberlândia
Volkswagen Fox 1.6 Msi Highline 16v Flex 4p Manual;49.990;2016;76.000 Km;Brasil - Uberlândia
Jeep Compass 2.0 16v Flex Limited Automático;97.990;2017;76.000 Km;Brasil - Uberlândia
Honda Hr-v 1.8 16v Flex Lx 4p Automático;79.990;2016;76.000 Km;Brasil - Uberlândia
